time;class;plot;ssy;zone
202008;S4;S4b_b;26,29;3
202008;S4;S4b_c;15,89;3
202008;S5;S5_a;37,54;4
202008;S5;S5_b;29,01;4
202008;S5;S5_c;80,55;4
202008;S6;S6_a;0;4
202008;S6;S6_b;2,51;4
202008;S6;S6_c;3,32;4
202009;S1;S1_a;;1
202009;S1;S1_b;82,35;1
202009;S1;S1_c;96,47;1
202009;S1;S1b_a;110,37;1
202009;S1;S1b_b;53,83;1
202009;S1;S1b_c;103,4;1
202009;S2;S2_a;104,2;2
202009;S2;S2_b;281,28;2
202009;S2;S2_c;135,83;2
202009;S2;S2b_a;;2
202009;S2;S2b_b;;2
202009;S2;S2b_c;;2
202009;S3;S3_a;;3
202009;S3;S3_b;34,48;3
202009;S3;S3_c;91,78;3
202009;S3;S3b_a;;3
202009;S3;S3b_b;7,94;3
202009;S3;S3b_c;17,44;3
202009;S4;S4_a;9,81;3
202009;S4;S4_b;;3
202009;S4;S4_c;;3
202009;S4;S4b_a;4,33;3
202009;S4;S4b_b;5,08;3
202009;S4;S4b_c;5,76;3
202009;S5;S5_a;19,02;4
202009;S5;S5_b;12,16;4
202009;S5;S5_c;10,92;4
202009;S6;S6_a;0;4
202009;S6;S6_b;1,06;4
202009;S6;S6_c;0,84;4
202010;S1;S1_a;;1
202010;S1;S1_b;22,69;1
202010;S1;S1_c;42,23;1
202010;S1;S1b_a;100,24;1
202010;S1;S1b_b;18,45;1
202010;S1;S1b_c;107,64;1
202010;S2;S2_a;45,85;2
202010;S2;S2_b;113,6;2
202010;S2;S2_c;76,53;2
202010;S2;S2b_a;;2
202010;S2;S2b_b;28,99;2
202010;S2;S2b_c;57,07;2
202010;S3;S3_a;;3
202010;S3;S3_b;;3
202010;S3;S3_c;;3
202010;S3;S3b_a;;3
202010;S3;S3b_b;;3
202010;S3;S3b_c;27,62;3
202010;S4;S4_a;15,53;3
202010;S4;S4_b;;3
202010;S4;S4_c;;3
202010;S4;S4b_a;;3
202010;S4;S4b_b;11,4;3
202010;S4;S4b_c;3,73;3
202010;S5;S5_a;4,62;4
202010;S5;S5_b;0;4
202010;S5;S5_c;17,3;4
202010;S6;S6_a;0;4
202010;S6;S6_b;0,46;4
202010;S6;S6_c;0;4
